id,label,description,rights,meta.Agent,meta.Alt Text,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Cultural Context,meta.Material,meta.Measurements,meta.Rights,meta.Style Period,meta.Subject,meta.Technique,meta.Worktype
000011,Akhenaten as Sphinx,"On a flat rectangular stone surface is carved in relief a sun-shaped disk in the upper left, radiating lines downward.  At the ends of the lines are hands, some holding ahks. Beneath the disk are candle-shaped offering stands. Facing the rays on the right is a crouching lion’s body with a human head and arms that are lifted in gestures of respect and offerings.  Egyptian hieroglyphs, some encircled in cartouches, are above the lion’s body and on the left.","ArtStor Museum of Fine Arts, Boston, Collection",Unknown,Stone relief of Akhenaten as Sphinx,BCE 1349-1336,"Museum of Fine Arts, Boston, Egyptian New Kingdom Gallery (Gallery 210) ","Tel-el-Amarna, Egypt","Ancient Egyptian, New Kingdom",limestone,51 x 105.5 x 5.2 cm ,"ArtStor Museum of Fine Arts, Boston, Collection","2nd Millennium BCE, New Kingdom",Akhenaten,bas-relief carving,Sculpture
000012,Akkadian Ruler Head,"The life-sized bronze head features a robust beard and strong facial features. The left eye socket is intact, but the right eye socket has been gouged out violently. A headpiece with textured triangular patterns crowns the head.","ArtStor © 2006, SCALA, Florence / ART RESOURCE, N.Y.",Unknown,life-sized bronze head,BCE 2250,"Iraq Museum, Baghdad ",Ancient Near East,"Middle Eastern, Mesopotamian, Akkadian",bronze,H. 30.7 cm,"ArtStor © 2006, SCALA, Florence / ART RESOURCE, N.Y.","3rd Millennium BCE, Akkadian","Akkad, Sargon",lost-wax casting,Sculpture
000013,Album of Calligraphies Including Poetry and Prophetic Traditions (Hadith),"Two horizontal rectangles of paper are placed one above the other in this photograph. In the center of each is a rectangle showing Arabic script in black ink, in large and small formats. The paper surrounding the inner rectangles is marbled in muted pinks, blues, and greens.  ",CC 1.0 Univeral Public Domain,Shaikh Hamdullah ibn Mustafa Dede,A manuscript with illustrations and Arabic calligraphy,CE 1500,"The Metropolitan Museum of Art, New York, NY, USA","Istanbul, Turkey","Middle Eastern, Turkish, Muslim","Main support: ink, watercolor, and gold on paper
Margins: ink, watercolor, and gold on marbled paper
Binding: leather and gold",32.1 x 23.8 cm,CC 1.0 Univeral Public Domain,16th Century CE,Arabic calligraphy,,"Manuscript
"
000014,Alexander the Great or Hector of Troy (Nine Heroes Tapestries),"This large tapestry depicts what could be either Hector or Alexander the Great holding a shield with the image of a lion and large sword; he sits in a vaulted niche on the lower register of the tapestry, surrounded on sides and top by seven smaller niches that show warriors and aristocratic women on a smaller scale than the main figure.",CC 1.0 Universal Public Domain,Unknown,Tapestry showing what could be either Hector or Alexander the Great holding a sword and a shield with the image of a lion.,CE 1400-1410,"The Metropolitan Museum of Art, New York, NY, USA",Southern Netherlands,"Northern and Western European, Netherlandish, Christendom","wool warp, wool wefts",165 1/2 x 104 in. (420.4 x 264.2 cm),CC 1.0 Universal Public Domain,"15th Century CE, Gothic","Alexander the Great, Hector of Troy",woven,Textile
000015,Alhambra Palace,"A crenellated wall made of red brick spans the photograph, punctuated by four rectangular square-topped battlement towers.  Beyond the wall are other buildings with arched, square, and round windows, and a tower. In the background are rocky peaks of a distant mountain range.  ",CC0 1.0 Universal Public Domain,Moorish Nasrid Dynasty,Large building on a cliff with trees surrounding it. Mountain ranges are seen in the background.,CE 1238-1358,"Granada, Andalucia, Spain","Granada, Andalucia, Spain ","Northern and Western European, Spainish, Muslim, Nasrid Dynasty",,L 740 m x W 205 m (35 acres),CC0 1.0 Universal Public Domain,"13th-14th Century CE, Moorish Nasrid Dynasty","Spain, Muslim",,Architecture
000016,Amunhotep III,"A carved wood statuette of a human form on an inscribed wooden base, with the left leg advanced. The arms are missing. A crown with uraeus body coiled in front rests atop the head. The eyes gaze forward, inlaid with glass. The figure wears a gold leaf kilt with wide border at top, incised with floral motifs.",CC BY-SA 3.0 Brooklyn Art Museum,Unknown,A carved wood statuette of a human form on an inscribed wooden base,BCE 1390-1352 ,"Brooklyn Museum, Egyptian Orientation Gallery, Third Floor",Egypt,"Ancient Egyptian, New Kingdom","wood, gold leaf, glass, pigment","Total height: 26.3 cm, Base: 16 x 2.7 x 6 cm",CC BY-SA 3.0 Brooklyn Art Museum,"2nd Millennium BCE, New Kingdom",Amunhotep III,,Sculpture
000017,Angelico: The Annunciation ,"Underneath a closed collonaded porch, with both rounded and pointed arches, and a garden, fence, and woods visible in the background, an angel in a pink robe, arms folded, kneels in front of a seated woman in a blue robe, whose folded arms mimic the angel's.  They are looking into each other's eyes. At the back of the porch is a doorway to a room with a window in it.",Artstor fig. 15.28; EP,Fra Angelico,"Two figures are under a covered colonnade. One is sitting on a bench, The other has wings and is kneeling.",CE 1438-1447,"Convent of San Marco, Florence, Italy","Florence, Italy","Southern European, Italian, Renaissance",fresco,230 x 297 cm,Artstor fig. 15.28; EP,"15th Century CE, Renaissance","Annunciation, Gabriel, St Mary",,Painting
000018,Aphrodite (Venus De Milo),"A female form carved in marble stands with the weight on her right leg, with her torso swiveled and shoulders tilted. Her garment has slipped to her hips. She gazes with serene expression and neatly coiffed hair. Her arms are missing from her shoulders.",CC BY-SA 4.0 Livioandronico2013,Alexandros of Antioch-On-The-Meander,"Carved marble female figure, nude to the waist with a draped cloth to the floor.  Both arms are broken at the elbow.",BCE 150-125,"Musee du Louvre, Paris ","Milos, Greece","Ancient Greek, Hellenistic",Parian marble,2.02 m,CC BY-SA 4.0 Livioandronico2013,"2nd Century BCE, Hellenistic","Venus, Aphrodite",sculpting,Sculpture
000019,Aphrodite of Knidos by Praxiteles,"A life-size carved marble sculpture shows a nude female figure reaching for a bath towel. Her weight rests on her right leg, while her torso curves to the left. Her head is turned toward the left.",CC BY 2.5 © Marie-Lan Nguyen,Unknown,A life-size carved marble sculpture shows a nude female figure reaching for a bath towel.,BCE 350-340 ,"Museo nazionale romano di palazzo Altemps, Rome",Athens,"Ancient Greek, Classical Greek",marble,"H.: 168 cm, Width at breast: 57.2 cm, Width at hips: 43.2 cm, Width at base: 47 cm, Depth of body: 42 cm",CC BY 2.5 © Marie-Lan Nguyen,"4th Century BCE, Classical Greece","Venus, Aphrodite",sculpting,Sculpture
000020,Aquamanile in the Form of a Dragon,Here is a metal jug with a spout in the shape of a dragon. The spout forms the dragon's neck and head. A small monk protrudes from the dragon's mouth at the end of the spout.,CC 1.0 Universal Public Domain,Unknown,Metal jug with a spout; the jug is in the shape of a dragon; a monk protrudes from the dragon's mouth.,CE 1200,"The Cloisters, Metropolitan Museum of Art, New York, NY, USA","Chartres, France","Northern and Western European, German, Christendom, Gothic",copper alloy,"Overall: 8 3/4 x 7 1/4 in., 4.4 lb. (22.2 x 18.4 cm, 2 kg)
Overall PD: 8 3/8 x 4 3/8 x 7 3/16 in. (21.2 x 11.1 x 18.2 cm)
Thickness PD: 3/25 in. (0.3 cm)",CC 1.0 Universal Public Domain,"13th Century CE, Gothic","dragon, Germany",metalworking,Metalwork
000021,Ara Pacis-procession frieze,"Large marble relief sculpture depicting a procession of men, women, and a child, dressed in togas and Roman ceremonial garb.",CC BY-SA 3.0 WolfgangRieger,Unknown,"Large marble relief sculpture depicting a procession of men, women, and a child, dressed in togas.",BCE 13,Rome,Rome,"Ancient Roman, Imperial Roman",marble,6m x 7m,CC BY-SA 3.0 WolfgangRieger,"1st Century BCE, Imperial Rome","Augustus, Agrippa",,Sculpture
000022,Ardabil Carpet ,"On a rectangular carpet, a sunburst medallion appears in the center, surrounded by sixteen ogival shapes. A pair of mosque lamps appear above and below the central medallion on the vertical axis. Around the border of the rectangle is a band showing undulating floral motifs. ","Public Domain, © MUSEUM ASSOCIATES 2017",Maqsud of Kashan and others (unknown) ,A rug with Chinese and Iranian motifs,CE 1539,"Los Angeles County Museum of Art, Los Angeles, CA, USA","Tabriz, Iran OR Kashan, Iran","Middle Eastern, Iranian, Muslim, Persian, Safavid",wool knotted pile on silk plain weave foundation,718.82 x 400.05 cm,"Public Domain, © MUSEUM ASSOCIATES 2017","16th Century CE, Safavid","Safavid, allover pattern",woven,Textile - Carpet 
000023,Assault of Mara,"Relief panel in stone showing the Buddha seated cross-legged in the center. On his left (the viewer’s right), the demon Mara, armed with a sword, is accompanied by several followers; on Buddha’s right (our left), we see the defeated demon being led away by members of his army.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,Relief sculpture of Buddha and the demon Mara,CE 100-300,"British Museum, Not on display",Central Asia/South Asia,"South Asian, Pakistani, Buddhist, Gandhara, Hellenistic, Kushan",schist,"Height: 28.5 cm
Width: 49.8 cm
Diameter: 6.4 cm",CC BY-SA 3.0 © The Trustees of the British Museum,"2nd-3rd Century CE, Gandhara, Hellenistic, Kushan","Buddhism, Mara",carved,"Sculpture
"
000024,"Aulus Metellus, or The Orator","A life-size statue of a man wearing a toga and boots stands with one arm stretched forward with an open palm. HIs mouth is open to express that he is speaking, and his eyes are fixed forward.",ArtStor Department of Art History Digital Collections,Unknown,Life-size statue of a man wearing a toga and boots stands with one arm stretched forward with an open palm,BCE 80,"Museo Archeologico Nazionale, Florence","Perugia, Italy","Ancient Roman, Imperial Roman",bronze,179 cm,ArtStor Department of Art History Digital Collections,"1st Century BCE, Imperial Rome","Imperial Rome, orator",hollow-casting,Sculpture
000025,Autumn Colors on the Qiao and Hua Mountains,This is a Yuan Dynasty landscape of mountains and trees with strong blue and green inks.,Artstor University of California San Diego Slide Gallery,Zhao Mengfu 趙孟頫,This is a Yuan Dynasty landscape of mountains and trees with strong blue and green inks.,CE 1296,"National Palace Museum, Taipei, Taiwan","Huzhou, Zhejiang, China","East Asian, Chinese, Yuan Dynasty",ink and color on paper,28.4 x 93.2 cm,Artstor University of California San Diego Slide Gallery,"13th Century CE, Yuan Dynasty","shan shui, mountains",Chinese ink painting,Painting
000026,Baal with Thunderbolt ,"An upright stone slab with relief carvings depicting a standing male figure (representing the Canaanite storm god Baal) who faces right, and stands on a large pedestal carved with mountains and seas. His right hand is upraised, brandishing a club, and his left hand is outstretched, holding a thunderbolt. This figure is bearded, and wears a helmet with bull’s horns. A smaller male figure, bareheaded, stands on a horned altar, between the god and his thunderbolt. (This is thought to be a king of Ugarit.)",GNU Free Documentation License Mbzt,Unknown,An upright stone slab with relief carvings depicting a standing male figure.,BCE 1500-1300,"Louvre, Paris","Ras Shamra (= Ugarit), Syria","Ancient Egyptian, New Kingdom",limestone,142 x 50 cm,GNU Free Documentation License Mbzt,"2nd Millennium BCE, New Kingdom",Baal,bas-relief carving,Sculpture
000027,Babur Receives a Courtier,"The top half of this painting shows a palace decorated with arabesque floral motifs. Two arches and a dome are visible, and above them a garden appears. In the bottom half, a central bearded figure sits on a square throne, surrounded by 14 males of various occupations and positions, and a horse. ",Public Domain,Farrukh Beg,Babur sits in his elaborately decorated throne room,CE 1580-1585,"Freer | Sackler Museum, Smithsonian Institution, Washington, DC USA","Lahore, Pakistan","South Asian, Muslim, Indian, Mughal",opaque watercolor and gold on paper,41.4 x 27 cm,Public Domain,"17th Century CE, Mughal","Mughal manuscript, Baburnama",,Painting
000028,Baleen Whale Mask,"This large whale-shaped carved cedar sculpture is painted with reds, blues, and whites to emphasize the flared nostril, the eye, and the jaw. Other decorative painted shapes appear on a collar, around the blow-hole, and along the sides and the fluted tail.  Moveable fins would have enhanced the effect when this mask -- hollowed out so it could be  carried on the back of a dancer -- was worn in ritualized performances.","CC BY-SA 3.0, © Brooklyn Museum",Unknown,A large wooden whale-shaped mask is painted black red and blue.,CE 1800-1900,"Brooklyn Museum, New York, USA","Knight's Inlet, British Columbia, Canada","North American, Canadian, Kwakwaka’wakw","cedar wood, hide, cotton cord, nails, pigment",60 x 72.4 x 206 cm,"CC BY-SA 3.0, © Brooklyn Museum","19th Century CE, Kwakwaka’wakw",Kwakwaka’wakw,,Sculpture
000029,Banquet Scene in Nebamun's Tomb painting," In the upper register, a dozen Egyptian figures are seated in a row of chairs, most of them in profile facing the viewer’s left.  They are dressed in robes, kilts, and jewelry.  A standing nude female offers a dish to one of them.  On a lower register, four seated musicians play instruments on the right, and five on the left, flanking two nearly-nude dancing figures and a group of amphora-shaped jugs in the center. Two musicians are shown full face. There are 15 vertical registers of hieroglyphs visible.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,banquet scene in Nebamun's tomb painting in two registers,BCE 1350,"British Museum, London, UK. Room 61","Thebes, Tomb of Nebamun, Upper Egypt","Ancient Egyptian, New Kingdom",plaster,Height: 88 cm; Width: 119 cm; Thickness: 22 cm; Width: 99.5 cm (painting only),CC BY-SA 3.0 © The Trustees of the British Museum,"2nd Millennium BCE, New Kingdom","New Kingdom, banquet",painting,Painting
000030,Baqir: Lion and Dragon in Combat,"Drawn in ink and watercolor on paper are a lion and a dragon grappling in fierce face-to-face combat, with the lion's teeth embedded in the dragon's body which is entwining the lion's torso.",Public Domain,Muhammad Baqir,A lion and a dragon wrestle.,CE 1750,"The Metropolitan Museum of Art, New York, NY USA","Sari, Iran","Middle Eastern, Iranian, Muslim, Persian, Safavid",ink and watercolor on paper,20.6 cm x 30.8 cm,Public Domain,"18th Century CE, Safavid","Safavid, lion, dragon",,Painting
000031,Barberini Faun (Sleeping Satyr),"Marble sculpture of a ""half-human, half-animal"", known as a Satyr in Ancient Greek mythology and a Faun in Roman mythology. He lays back while sleeping, his tail visible under his left leg and his right leg propped up.","Artstor University of California, San Diego",Unknown,Satyr lays back against a rock while sleeping.,BCE 220,"Glyptothek, Munich, Germany","Castel Sant’ Angelo, Parco Adriano, Rome, Italy","Ancient Greek, Hellenistic",marble,215 cm,"Artstor University of California, San Diego","2nd Century BCE, Hellenistic",satyr,sculpting,Sculpture
000032,"Basilica of Maxentius, or the Basilica Nova",This photograph shows the basilica Nova’s three barrel vaults.,CC BY-SA 4.0 Livioandronico2013 ,Unknown,This photograph shows the basilica Nova's three barrel vaults.,CE 306-312,"Rome, Italy",The Roman Forum,"Ancient Roman, Imperial Roman, Late Antiquity",concrete (barrel vault),23 x 17 m. 37 m at the center of each barrel vault,CC BY-SA 4.0 Livioandronico2013 ,"4th Century CE, Imperial Roman, Late Antiquity","Imperial Rome, Maxentius, Constantine",,Architecture
000033,Basilica of Saint-Denis,"A photograph shows the west façade of Saint Denis, which has three portals at the ground level, separated by two massive vertical buttresses between them rising three levels high, marked by horizontal string-courses and window arcades that mark each level on the exterior of the building. The central portal is one larger than those either side, topped by a Tympanum and lintel. Above the central portal is a second-level arched window arcade, and above that is a large round rose window in a square frame. Above the right flanking portal and window arcades rises a bell tower.",CC BY-SA 4.0 Thomas Clouet,Unknown,A cathedral facade shows three portals at the ground level. A second-level arched window arcade shows a large round rose window in a square frame. A bell tower spire rises above. ,CE 1144,"Saint-Denis, France","Saint-Denis, France","Northern and Western European, French, Christendom, Gothic",,108 x 39 m,CC BY-SA 4.0 Thomas Clouet,"12th Century CE, Gothic","France, Christianity",,Architecture
000034,"Basilica of Saint-Sernin, Toulouse","An interior view of a church shows a pair of arched recessed rooms, each containing a painting and an altar. A row of wooden pews faces the paired rooms. Above them are a pair of arched balcony openings. ",CC BY 3.0 PierreSelim,Unknown,"An interior view of a church shows a pair of arched recessed rooms, each containing a painting and an altar. A row of wooden pews face the paired rooms. Above them are a pair of arched balcony openings.",CE 1180,"Toulouse, France","Toulouse, France","Northern and Western European, French, Christendom, Romanesque",,115 x 64 x 21m (interior),CC BY 3.0 PierreSelim,"12th Century CE, Romanesque","France, Christianity",,Architecture
000035,Basilica of San Vitale at Ravenna,"An octagonal building is seen from the side, showing two stories of arched windows, buttressed supports, and a cupola.",CC BY-SA 3.0 Madaki,Bishop Ecclesius and Bishop Maximian,An octagonal building with buttresses and a cupola,CE 526-547,"Ravenna, Italy","Ravenna, Italy","Southern European, Italian, Byzantine, Late Antiquity, Christendom",,0.14 ha (0.35 acres),CC BY-SA 3.0 Madaki,"6th Century CE, Late Antiquity, Byzantine","Byzantine, Christianity",,Architecture
000036,"Basilica of Santa Sabina, Interior","A central nave is flanked by rows of corinthian columns and arches, above which are rows of stained glass clerestory windows.  At the far end is the apse showing a triumphal arch.",CC BY-SA 3.0 Dnalor 01,Peter of Illyria,A central nave is flanked by columns and windows.  An apse is at the far end.,CE 422-432,"Rome, Italy","Rome, Italy","Southern European, Italian, Byzantine, Late Antiquity, Christendom",,60 x 30 m,CC BY-SA 3.0 Dnalor 01,"5th Century CE, Late Antiquity, Early Christian","Byzantine, Early Christianity",,Architecture
000037,Bath of Fasiledes,"A three-story stone building stands in a giant stone-walled rectangular pool with no water in it. Two arched doorways are at the ground level on each of two visible sides of the building. Above, two arched doorways permit access to a balcony that spans the width of the building. A square tower rises to a third level on the right corner of the building, with round-topped battlements on the tower's roofline.",CC BY-SA 3.0 © UNESCO Francesco Bandarin    ,Unknown,A castle with arches on the ground floor,CE 1600-1700,"Gondar, Ethiopia                ","Gondar, Ethiopia                ","East African, Ethiopian, Gondarian",,,CC BY-SA 3.0 © UNESCO Francesco Bandarin    ,"17th Century CE, Gondar Period","Fasiledes, Gondar",,Architecture
000038,Battle of Issus (Alexander Mosaic) ,"This mosaic shows a dramatic moment in a battle: a clash of horses, soldiers, shields and spears. Alexander can be seen on the viewer’s left, representing Greece. On the right, Darius and the Persian army charge toward the center. In the middle, horses wheel and prop under the charioteers’ whip, who are responding to Darius’s order to reverse their charge and flee. On the ground are wounded soldiers.",CC BY-SA 3.0 Berthold Werner,Unknown,The mosaic shows a battle scene where two armies of mounted soldiers with shields and spears.,BCE 315,"Museo Archeologico Nazionale, Naples","House of Faun, Pompeii","Ancient Greek, Hellenistic",glass or stone tesserae,5.82 x 3.13 m,CC BY-SA 3.0 Berthold Werner,"4th Century BCE, Hellenistic","Alexander the Great, Darius III",,Mosaic
000039,Battle of Karbala,"In the center of this oil-on-canvas scene is a bearded, helmeted warrior on a white horse stabbing a bareheaded mustached man on a dark horse in the chest. Surrounding the central scene are dozens of miniature scenes depicting  religious and courtly rituals on the viewer's left, and, on the viewer's right, visual references of heaven and hell.",Public Domain,Abbas Al-Musavi,"A bearded, helmeted warrior on a horse stabs a bareheaded mustached man on a dark horse.",CE 1875-1925,"Brooklyn Museum, New York, USA","Isfahan, Iran","Middle Eastern, Iranian, Qajar, Muslim",oil on canvas,175.4 x 341.6 x 5.7 cm,Public Domain,"19th-20th Century CE, Qajar","Qajar, Imam Husayn",painting,Painting
000040,Bayeux Tapestry Death of Harold,"The embroidery on cloth uses tan, green, red, and two shades of blue thread. The image has an upper register that contains several panels of decorative beasts and beards. The main, central register shows (left to right) a man whose shield has several arrows buried in it, a man who has been struck in the eye by an arrow, and a swordsman on horseback striking down a man with an axe. Above them are stitched the words ""Harold Rex Infectus est."" The bottom register shows smaller depictions of men in battle, including a man stripping the armor from a dead opponent.",CC 1.0 Universal Public Domain Myrabella ,Unknown ,Embroidery on cloth showing the death of King Harold of England from being struck in the eye by an arrow.,CE 1070-1080,"Musée de la Tapisserie de Bayeux, Bayeux, France","England, UK","Northern and Western European, French, Christendom, Medieval",wool thread on linen cloth,70 m (230 ft) long and 50 cm (20 in) tall,CC 1.0 Universal Public Domain Myrabella ,"11th Century CE, Medieval","Harold Godwinson, Harold II",embroidery,Textile
000041,Bayeux Tapestry Halley's Comet,"This embroidery on cloth uses tan, green, red, and two shades of blue thread. The image has an upper register that shows a comet at the center and the Latin caption ""Isti mirant stella"" on the left. In the left lower register we see a group of six men in a castle pointing to the sky; on the right, a man with a sword speaking urgently to an enthroned king in a castle, above whom the name ""Harold"" is stitched. A narrow band at the bottom of the cloth shows a bird and a group of unmanned longboats.",CC 1.0 Universal Public Domain Myrabella ,Unknown ,"Embroidery on cloth showing a comet at the center and the Latin caption ""Isti mirant stella"" on the left.",CE 1070-1080,"Musée de la Tapisserie de Bayeux, Bayeux, France","England, UK","Northern and Western European, French, Christendom, Medieval",wool thread on linen cloth,70 m (230 ft) long and 50 cm (20 in) tall,CC 1.0 Universal Public Domain Myrabella ,"11th Century CE, Medieval","Harold Godwinson, Harold II, comet Halley",embroidery,Textile
000042,Bearden: The Block,"This mixed media collage included printed, colored, and metallic papers, graphite, marker, gouache, watercolor, and ink among other mediums. ""The Block"" was a tribute to New York City's Harlem neighborhood. The original installation included a tape recording of street sounds to enhance the viewer's experience of the work.",Artstor: Romare Bearden Foundation,Romare Bearden,"Collage of a block of a city neighborhood with cars, people, buildings, and storefronts.",CE 1971,"The Metropolitan Museum of Art, New York, NY, USA","New York, United States","American, African American, Modernism, Social Realism","mural, collage of pasted paper w/sym. Polymer paint on masonite, 6 panels",48 in. x 18 ft. (121.9 x 548.6 cm),Artstor: Romare Bearden Foundation,"20th Century CE, Modernism, Social Realism","African American, Harlem",collage,Mixed Media
000043,Bearden: Three Folk Musicians,"Collage of three men holding instruments, two a guitar and one a banjo","ArtStor: © Estate of Romare Bearden / Licensed by VAGA, New York, NY",Romare Bearden,Three men holding musical instruments,CE 1967,"J.L. Hudson Gallery, Detroit, MI, USA","Harlem, New York","American, African American, Modernism, Social Realism",collage on canvas board,50 x 60 in. (127 x 152.4 cm),"ArtStor: © Estate of Romare Bearden / Licensed by VAGA, New York, NY","20th Century CE, Modernism, Social Realism","African American, musicians",collage,Painting
000044,"Beardsley: Cover of ""The Yellow Book: an Illustrated Quarterly""","This is the cover of a periodical that depicts a woman on the right side of the image against a light background; her bountiful dark hair contrasts with her light face, and this contrast is picked up in the light and dark layering of her dress with its dark bow and wide collar. To the left of the image, set against a dark background, is a low bookshelf on which is a bowl of flowers; the repeating floral image behind that suggests wallpaper. The name of the journal and publication information frame the image on the top and bottom.",Public Domain,Aubrey Vincent Beardsley,"The cover of a magazine shows a woman's portrait, lamps, and some books.",CE 1894,"Yale Center for British Art, New Haven, CT, USA","London, England","Northern and Western European, British, Art Nouveau","photomechanical reproduction on thin, slightly textured, orange wove paper, laid on contemporary mount made of moderately thick, slightly textured, cream laid paper",Sheet: 21.3 cm x 16.4 cm Image: 12.6 cm x 15.1 cm,Public Domain,"19th Century CE, Art Nouveau",periodical cover,,Prints
